Småortskod 
 	Småort_Beteckning 
(Namn) 	Typ 
  	Landareal 
hektar 	Folkmängd  
2010.12.31 	Fritidshusomr 
andel 	Kommun 
Namn 	Kommun
kod
S0481	Råby + Norränge	-	27.08	73	0	Upplands-Bro	0139
S0483	Norrsjön + Maren + Knuvskogen	-	123.65	110	0.83	Norrtälje	0188
S0487	Norsbol	-	30.19	121	0	Nynäshamn	0192
S0491	Nolsjö (västra delen)	-	13.59	61	0	Österåker	0117
S0495	Ensta	-	11.73	83	0	Botkyrka	0127
S0497	Nysättra	-	84.15	222	0.51	Norrtälje	0188
S0501	Norra Nånö	-	26.94	84	0	Norrtälje	0188
S0503	Hansätter och Lidsätter och Björnberga	-	21.81	77	0	Södertälje	0181
S0504	Lindängen och Viksberg	Ny	9.13	68	0	Södertälje	0181
S0505	Oaxen	-	11.54	89	0	Södertälje	0181
S0506	Ogan	Ny	12.24	51	0	Södertälje	0181
S0507	Fors	-	9.26	70	0	Nynäshamn	0192
S0509	Ortalalund	-	57.62	77	0.5	Norrtälje	0188
S0511	Lunda	-	28.85	82	0.67	Ekerö	0125
S0513	Oxnö	-	56.97	143	0.69	Nynäshamn	0192
S0515	Lövhagen + Lunda	-	8.13	57	0	Upplands-Bro	0139
S0518	Menhammar	Ny	17.45	65	0	Ekerö	0125
S0519	Midsjö	-	22.24	63	0	Norrtälje	0188
S0521	Ramsdalen	-	34.97	61	0.81	Värmdö	0120
S0523	Ramsö	-	86.84	64	0.93	Vaxholm	0187
S0527	Ricksättra	-	53.75	132	0.87	Ekerö	0125
S0529	Rindö	-	61.96	188	0.98	Vaxholm	0187
S0531	Rindö smedja	-	12.8	76	0	Vaxholm	0187
S0533	Ristomta och Svalsta	-	7.73	85	0	Nynäshamn	0192
S0535	Rindöby	-	29.46	73	0	Vaxholm	0187
S0537	Roslags-Kulla	-	27.36	126	0	Österåker	0117
S0538	Rydbo saltsjöbad	Ny	24.43	87	0.88	Österåker	0117
S0539	Rådmanby	-	26.47	53	0	Norrtälje	0188
S0541	Rånäs	-	21.26	110	0	Norrtälje	0188
S0543	Valsta norra	-	20.79	105	0	Nynäshamn	0192
S0545	Räknäs	-	27.69	105	0	Värmdö	0120
S0547	Norudden	-	17.44	73	0.94	Nynäshamn	0192
S0551	Paris och Wien	-	36.88	73	0.93	Norrtälje	0188
S0553	Rävsnäs	-	59.35	93	0.81	Norrtälje	0188
S0554	Röcksta	Ny	16.35	50	0	Norrtälje	0188
S0557	Byle	-	17.08	83	0	Norrtälje	0188
S0559	Plogen	-	11.87	52	0	Ekerö	0125
